A,B,C,D,Menu_Section,Restaurant_URL,E,F,Region,G,H
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,18.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,23.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,12.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,15.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,19.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,21.99,Steaks,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
8OZ# RUMP STEAK,No Description,£,16.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,theblacksmitharmshighwycombe,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,thebritannialancing,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,thebulldogashford,mainmenu#
